,Team,Sprint 0,Sprint 1,Sprint 2,Sprint 3,AI,EDU,VR_AR,Grade,TP.1,TP.2,TP.3,TC.1,TC.2,TC.3,TC.4,TC.5,CC.1,CC.2,PS.1,PS.2,PS.3,PS.4,PS.5,RD.1,RD.2,RD.3,TE.1,TE.2,TE.3,TE.4,TE.5,TE.6,TE.7
0,14,1,0,0,0,1,0,0,86.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4,1,0,0,0,0,1,0,92.0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13,1,0,0,0,0,1,0,93.0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,8,1,0,0,0,0,0,1,92.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2,1,0,0,0,0,0,1,85.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,0,0,0,0,0,1,84.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,10,1,0,0,0,0,1,0,52.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,11,1,0,0,0,0,1,0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,6,1,0,0,0,0,1,0,82.0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9,12,1,0,0,0,1,0,0,95.0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10,1,1,0,0,0,1,0,0,66.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,1,0,0,0,0,0,1,84.0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
12,15,1,0,0,0,1,0,0,94.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,1,0,0,0,1,0,0,99.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,1,0,0,0,0,0,1,100.0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
15,14,0,1,0,0,1,0,0,100.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
16,4,0,1,0,0,0,1,0,91.0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
17,13,0,1,0,0,0,1,0,76.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,8,0,1,0,0,0,0,1,99.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
