,TP.1,TP.2,TP.3,TC.1,TC.2,TC.3,TC.4,TC.5,CC.1,CC.2,CC.3,PS.1,PS.2,PS.3,PS.4,PS.5,RD.1,RD.2,RD.3,TE.1,TE.2,TE.3,TE.4,TE.5,TE.6,TE.7,Team,Sprint 0,Sprint 1,Sprint 2,Sprint 3,AI,VR_AR,EDU,Grade
0,0,0,0,0,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,66.0
1,0,0,0,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,100.0
2,0,0,0,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,94.0
3,1,1,0,1,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,90.0
4,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,85.0
5,0,1,0,0,0,1,0,1,0,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,99.0
6,0,1,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,65.0
7,0,1,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,79.0
8,1,0,0,1,1,1,0,1,0,0,,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,100.0
9,1,0,0,0,1,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,91.0
10,1,0,0,0,1,1,0,1,0,0,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,3,0,0,1,0,0,1,0,100.0
11,1,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,98.0
12,1,1,1,0,1,1,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4,1,0,0,0,0,0,1,92.0
13,0,0,1,0,1,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,91.0
14,0,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,1,100.0
15,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,1,96.0
16,1,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,1,0,84.0
17,1,0,0,0,1,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,95.0
18,0,1,0,0,0,1,0,1,0,0,,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,0,0,1,0,0,1,0,95.0
19,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,1,0,1,0,88.0
20,1,1,0,0,1,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,1,82.0
21,0,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,6,0,1,0,0,0,0,1,100.0
22,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,1,0,0,0,1,99.0
23,1,1,1,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,1,0,0,1,100.0
24,1,0,1,0,1,1,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,84.0
25,1,0,0,0,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,1,0,0,0,1,0,91.0
26,1,1,0,0,1,1,1,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,7,0,0,1,0,0,1,0,90.0
27,1,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,7,0,0,0,1,0,1,0,96.0
28,0,0,0,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,1,0,92.0
29,0,0,0,0,1,0,1,0,0,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,0,1,0,99.0
30,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,1,0,95.0
31,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,0,99.0
32,0,0,0,0,1,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,0,0,99.0
33,0,1,0,0,1,0,1,1,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,1,0,0,1,0,0,100.0
